session_id,finger_1,finger_2,finger_3,finger_1_name,finger_2_name,finger_3_name,key_1,key_2,key_3,key_1_type,key_2_type,key_3_type,vowel_count,vowel_pattern,hand_pattern,interval_1_2_ms,interval_2_3_ms,avg_interval_ms,has_error,same_finger,same_hand_all,alternating,pattern_type
1778551159,L2,R3,L4,左薬指,右中指,左人差し指,s,i,b,子音,母音,子音,1,CVC,LRL,48,130,89.0,True,False,False,True,左右交互
1778551159,R3,L4,R4,右中指,左人差し指,右人差し指,i,b,u,母音,子音,母音,2,VCV,RLR,130,65,97.5,True,False,False,True,左右交互
1778551159,L4,R4,L4,左人差し指,右人差し指,左人差し指,b,u,t,子音,母音,子音,1,CVC,LRL,65,153,109.0,True,False,False,True,左右交互
1778551159,R4,L4,R2,右人差し指,左人差し指,右薬指,u,t,o,母音,子音,母音,2,VCV,RLR,153,66,109.5,True,False,False,True,左右交互
1778551159,L4,R2,R3,左人差し指,右薬指,右中指,t,o,i,子音,母音,母音,2,CVV,LRR,66,34,50.0,True,False,False,False,混合
1778551159,R2,R3,R3,右薬指,右中指,右中指,o,i,k,母音,母音,子音,2,VVC,RRR,34,127,80.5,True,True,True,False,同指連打
1778551159,R3,R3,L1,右中指,右中指,左小指,i,k,a,母音,子音,母音,2,VCV,RRL,127,134,130.5,True,True,False,False,同指連打
1778551159,R3,L1,R4,右中指,左小指,右人差し指,k,a,n,子音,母音,子音,1,CVC,RLR,134,87,110.5,True,False,False,True,左右交互
1778551159,L1,R4,L1,左小指,右人差し指,左小指,a,n,a,母音,子音,母音,2,VCV,LRL,87,88,87.5,True,False,False,True,左右交互
1778551159,R4,L1,L4,右人差し指,左小指,左人差し指,n,a,r,子音,母音,子音,1,CVC,RLL,88,47,67.5,True,False,False,False,混合
1778551159,L1,L4,R3,左小指,左人差し指,右中指,a,r,i,母音,子音,母音,2,VCV,LLR,47,62,54.5,True,False,False,False,混合
1778551159,L4,R3,R4,左人差し指,右中指,右人差し指,r,i,n,子音,母音,子音,1,CVC,LRR,62,105,83.5,True,False,False,False,混合
1778551159,R3,R4,R4,右中指,右人差し指,右人差し指,i,n,u,母音,子音,母音,2,VCV,RRR,105,170,137.5,True,True,True,False,同指連打
1778551159,R4,R4,L3,右人差し指,右人差し指,左中指,n,u,d,子音,母音,子音,1,CVC,RRL,170,117,143.5,True,True,False,False,同指連打
1778551159,R4,L3,R2,右人差し指,左中指,右薬指,u,d,o,母音,子音,母音,2,VCV,RLR,117,80,98.5,True,False,False,True,左右交互
1778551159,L3,R2,L4,左中指,右薬指,左人差し指,d,o,t,子音,母音,子音,1,CVC,LRL,80,127,103.5,True,False,False,True,左右交互
1778551159,R2,L4,R3,右薬指,左人差し指,右中指,o,t,i,母音,子音,母音,2,VCV,RLR,127,95,111.0,True,False,False,True,左右交互
1778551159,L4,R3,L4,左人差し指,右中指,左人差し指,t,i,r,子音,母音,子音,1,CVC,LRL,95,91,93.0,True,False,False,True,左右交互
1778551159,R3,L4,R3,右中指,左人差し指,右中指,i,r,i,母音,子音,母音,2,VCV,RLR,91,79,85.0,True,False,False,True,左右交互
1778551159,L4,R3,R3,左人差し指,右中指,右中指,r,i,k,子音,母音,子音,1,CVC,LRR,79,165,122.0,True,True,False,False,同指連打
1778551159,R3,R3,R2,右中指,右中指,右薬指,i,k,o,母音,子音,母音,2,VCV,RRR,165,38,101.5,True,True,True,False,同指連打
1778551159,R3,R2,L4,右中指,右薬指,左人差し指,k,o,r,子音,母音,子音,1,CVC,RRL,38,776,407.0,True,False,False,False,混合
1778551159,R2,L4,R3,右薬指,左人差し指,右中指,o,r,i,母音,子音,母音,2,VCV,RLR,776,65,420.5,True,False,False,True,左右交互
1778551159,L4,R3,R3,左人差し指,右中指,右中指,r,i,k,子音,母音,子音,1,CVC,LRR,65,165,115.0,True,True,False,False,同指連打
1778551159,R3,R3,R2,右中指,右中指,右薬指,i,k,o,母音,子音,母音,2,VCV,RRR,165,59,112.0,True,True,True,False,同指連打
1778551159,R3,R2,R3,右中指,右薬指,右中指,k,o,k,子音,母音,子音,1,CVC,RRR,59,117,88.0,True,False,True,False,同手3連
1778551159,R2,R3,L1,右薬指,右中指,左小指,o,k,a,母音,子音,母音,2,VCV,RRL,117,76,96.5,True,False,False,False,混合
1778551159,R3,L1,L3,右中指,左小指,左中指,k,a,e,子音,母音,母音,2,CVV,RLL,76,107,91.5,True,False,False,False,混合
1778551159,L1,L3,L4,左小指,左中指,左人差し指,a,e,r,母音,母音,子音,2,VVC,LLL,107,63,85.0,True,False,True,False,同手3連
1778551159,L3,L4,R4,左中指,左人差し指,右人差し指,e,r,u,母音,子音,母音,2,VCV,LLR,63,71,67.0,True,False,False,False,混合
1778551159,L4,R4,R1,左人差し指,右人差し指,右小指,r,u,p,子音,母音,子音,1,CVC,LRR,71,122,96.5,True,False,False,False,混合
1778551159,R4,R1,R4,右人差し指,右小指,右人差し指,u,p,u,母音,子音,母音,2,VCV,RRR,122,115,118.5,True,False,True,False,同手3連
1778551159,R1,R4,L4,右小指,右人差し指,左人差し指,p,u,r,子音,母音,子音,1,CVC,RRL,115,198,156.5,True,False,False,False,混合
1778551159,R4,L4,R2,右人差し指,左人差し指,右薬指,u,r,o,母音,子音,母音,2,VCV,RLR,198,98,148.0,True,False,False,True,左右交互
1778551159,L4,R2,R1,左人差し指,右薬指,右小指,r,o,p,子音,母音,子音,1,CVC,LRR,98,179,138.5,True,False,False,False,混合
1778551159,R2,R1,R2,右薬指,右小指,右薬指,o,p,o,母音,子音,母音,2,VCV,RRR,179,43,111.0,True,False,True,False,同手3連
1778551159,R1,R2,L1,右小指,右薬指,左小指,p,o,z,子音,母音,子音,1,CVC,RRL,43,75,59.0,True,False,False,False,混合
1778551159,R2,L1,R4,右薬指,左小指,右人差し指,o,z,u,母音,子音,母音,2,VCV,RLR,75,78,76.5,True,False,False,True,左右交互
1778551159,L1,R4,L2,左小指,右人差し指,左薬指,z,u,s,子音,母音,子音,1,CVC,LRL,78,197,137.5,True,False,False,True,左右交互
1778551159,R4,L2,R3,右人差し指,左薬指,右中指,u,s,i,母音,子音,母音,2,VCV,RLR,197,134,165.5,True,False,False,True,左右交互
1778551159,L2,R3,L4,左薬指,右中指,左人差し指,s,i,t,子音,母音,子音,1,CVC,LRL,134,118,126.0,True,False,False,True,左右交互
1778551159,R3,L4,R2,右中指,左人差し指,右薬指,i,t,o,母音,子音,母音,2,VCV,RLR,118,66,92.0,True,False,False,True,左右交互
1778551159,L4,R2,R4,左人差し指,右薬指,右人差し指,t,o,m,子音,母音,子音,1,CVC,LRR,66,116,91.0,True,False,False,False,混合
1778551159,R2,R4,L3,右薬指,右人差し指,左中指,o,m,e,母音,子音,母音,2,VCV,RRL,116,75,95.5,True,False,False,False,混合
1778551159,R4,L3,L4,右人差し指,左中指,左人差し指,m,e,r,子音,母音,子音,1,CVC,RLL,75,76,75.5,True,False,False,False,混合
1778551159,L3,L4,R4,左中指,左人差し指,右人差し指,e,r,u,母音,子音,母音,2,VCV,LLR,76,65,70.5,True,False,False,False,混合
1778551159,L4,R4,R4,左人差し指,右人差し指,右人差し指,r,u,m,子音,母音,子音,1,CVC,LRR,65,113,89.0,False,True,False,False,同指連打
1778551159,R4,R4,R2,右人差し指,右人差し指,右薬指,u,m,o,母音,子音,母音,2,VCV,RRR,113,36,74.5,False,True,True,False,同指連打
1778551159,R4,R2,L2,右人差し指,右薬指,左薬指,m,o,s,子音,母音,子音,1,CVC,RRL,36,122,79.0,True,False,False,False,混合
1778551159,R2,L2,R3,右薬指,左薬指,右中指,o,s,i,母音,子音,母音,2,VCV,RLR,122,72,97.0,True,False,False,True,左右交互
1778551159,L2,R3,R4,左薬指,右中指,右人差し指,s,i,u,子音,母音,母音,2,CVV,LRR,72,37,54.5,True,False,False,False,混合
