session_id,finger_1,finger_2,finger_3,finger_1_name,finger_2_name,finger_3_name,key_1,key_2,key_3,key_1_type,key_2_type,key_3_type,vowel_count,vowel_pattern,hand_pattern,interval_1_2_ms,interval_2_3_ms,avg_interval_ms,has_error,same_finger,same_hand_all,alternating,pattern_type
1778554588_clean,R2,R3,R2,右薬指,右中指,右薬指,o,k,o,母音,子音,母音,2,VCV,RRR,161,60,110.5,False,False,True,False,同手3連
1778554588_clean,R3,R2,L4,右中指,右薬指,左人差し指,k,o,t,子音,母音,子音,1,CVC,RRL,60,105,82.5,False,False,False,False,混合
1778554588_clean,R2,L4,R2,右薬指,左人差し指,右薬指,o,t,o,母音,子音,母音,2,VCV,RLR,105,84,94.5,False,False,False,True,左右交互
1778554588_clean,L4,R2,L2,左人差し指,右薬指,左薬指,t,o,s,子音,母音,子音,1,CVC,LRL,84,171,127.5,False,False,False,True,左右交互
1778554588_clean,R2,L2,L1,右薬指,左薬指,左小指,o,s,a,母音,子音,母音,2,VCV,RLL,171,33,102.0,False,False,False,False,混合
1778554588_clean,L2,L1,R4,左薬指,左小指,右人差し指,s,a,u,子音,母音,母音,2,CVV,LLR,33,102,67.5,False,False,False,False,混合
1778554588_clean,L1,R4,L2,左小指,右人差し指,左薬指,a,u,s,母音,母音,子音,2,VVC,LRL,102,115,108.5,False,False,False,True,左右交互
1778554588_clean,R4,L2,L3,右人差し指,左薬指,左中指,u,s,e,母音,子音,母音,2,VCV,RLL,115,40,77.5,False,False,False,False,混合
1778554588_clean,L2,L3,R3,左薬指,左中指,右中指,s,e,k,子音,母音,子音,1,CVC,LLR,40,83,61.5,False,False,False,False,混合
1778554588_clean,L3,R3,L1,左中指,右中指,左小指,e,k,a,母音,子音,母音,2,VCV,LRL,83,96,89.5,False,False,False,True,左右交互
1778554588_clean,R3,L1,L2,右中指,左小指,左薬指,k,a,s,子音,母音,子音,1,CVC,RLL,96,202,149.0,False,False,False,False,混合
1778554588_clean,L1,L2,L3,左小指,左薬指,左中指,a,s,e,母音,子音,母音,2,VCV,LLL,202,46,124.0,False,False,True,False,同手3連
1778554588_clean,L2,L3,R3,左薬指,左中指,右中指,s,e,k,子音,母音,子音,1,CVC,LLR,46,98,72.0,False,False,False,False,混合
1778554588_clean,L3,R3,L1,左中指,右中指,左小指,e,k,a,母音,子音,母音,2,VCV,LRL,98,65,81.5,False,False,False,True,左右交互
1778554588_clean,R3,L1,R4,右中指,左小指,右人差し指,k,a,u,子音,母音,母音,2,CVV,RLR,65,90,77.5,False,False,False,True,左右交互
1778554588_clean,L1,R4,L3,左小指,右人差し指,左中指,a,u,d,母音,母音,子音,2,VVC,LRL,90,128,109.0,False,False,False,True,左右交互
1778554588_clean,R4,L3,R2,右人差し指,左中指,右薬指,u,d,o,母音,子音,母音,2,VCV,RLR,128,55,91.5,False,False,False,True,左右交互
1778554588_clean,L3,R2,R4,左中指,右薬指,右人差し指,d,o,n,子音,母音,子音,1,CVC,LRR,55,216,135.5,False,False,False,False,混合
1778554588_clean,R2,R4,R4,右薬指,右人差し指,右人差し指,o,n,n,母音,子音,子音,1,VCC,RRR,216,132,174.0,False,True,True,False,同指連打
1778554588_clean,R4,R4,R3,右人差し指,右人差し指,右中指,n,n,k,子音,子音,子音,0,CCC,RRR,132,63,97.5,False,True,True,False,同指連打
1778554588_clean,R4,R3,L1,右人差し指,右中指,左小指,n,k,a,子音,子音,母音,1,CCV,RRL,63,149,106.0,False,False,False,False,混合
1778554588_clean,R3,L1,R4,右中指,左小指,右人差し指,k,a,m,子音,母音,子音,1,CVC,RLR,149,274,211.5,False,False,False,True,左右交互
1778554588_clean,L1,R4,R3,左小指,右人差し指,右中指,a,m,i,母音,子音,母音,2,VCV,LRR,274,54,164.0,False,False,False,False,混合
1778554588_clean,R4,R3,L2,右人差し指,右中指,左薬指,m,i,s,子音,母音,子音,1,CVC,RRL,54,92,73.0,False,False,False,False,混合
1778554588_clean,R3,L2,R3,右中指,左薬指,右中指,i,s,i,母音,子音,母音,2,VCV,RLR,92,79,85.5,False,False,False,True,左右交互
1778554588_clean,L2,R3,R4,左薬指,右中指,右人差し指,s,i,m,子音,母音,子音,1,CVC,LRR,79,172,125.5,False,False,False,False,混合
1778554588_clean,R3,R4,L3,右中指,右人差し指,左中指,i,m,e,母音,子音,母音,2,VCV,RRL,172,58,115.0,False,False,False,False,混合
1778554588_clean,R4,L3,L4,右人差し指,左中指,左人差し指,m,e,r,子音,母音,子音,1,CVC,RLL,58,72,65.0,False,False,False,False,混合
1778554588_clean,L3,L4,R4,左中指,左人差し指,右人差し指,e,r,u,母音,子音,母音,2,VCV,LLR,72,115,93.5,False,False,False,False,混合
1778554588_clean,L4,R4,L4,左人差し指,右人差し指,左人差し指,r,u,r,子音,母音,子音,1,CVC,LRL,115,72,93.5,False,False,False,True,左右交互
1778554588_clean,R4,L4,L1,右人差し指,左人差し指,左小指,u,r,a,母音,子音,母音,2,VCV,RLL,72,72,72.0,False,False,False,False,混合
1778554588_clean,L4,L1,R3,左人差し指,左小指,右中指,r,a,k,子音,母音,子音,1,CVC,LLR,72,32,52.0,False,False,False,False,混合
1778554588_clean,L1,R3,R3,左小指,右中指,右中指,a,k,k,母音,子音,子音,1,VCC,LRR,32,133,82.5,False,True,False,False,同指連打
1778554588_clean,R3,R3,R3,右中指,右中指,右中指,k,k,i,子音,子音,母音,1,CCV,RRR,133,141,137.0,False,True,True,False,同指連打
1778554588_clean,R3,R3,L3,右中指,右中指,左中指,k,i,e,子音,母音,母音,2,CVV,RRL,141,60,100.5,False,True,False,False,同指連打
1778554588_clean,R3,L3,R4,右中指,左中指,右人差し指,i,e,n,母音,母音,子音,2,VVC,RLR,60,63,61.5,False,False,False,True,左右交互
1778554588_clean,L3,R4,R4,左中指,右人差し指,右人差し指,e,n,n,母音,子音,子音,1,VCC,LRR,63,120,91.5,False,True,False,False,同指連打
1778554588_clean,R4,R4,R3,右人差し指,右人差し指,右中指,n,n,k,子音,子音,子音,0,CCC,RRR,120,129,124.5,False,True,True,False,同指連打
1778554588_clean,R4,R3,R3,右人差し指,右中指,右中指,n,k,i,子音,子音,母音,1,CCV,RRR,129,155,142.0,False,True,True,False,同指連打
1778554588_clean,R3,R3,R3,右中指,右中指,右中指,k,i,k,子音,母音,子音,1,CVC,RRR,155,82,118.5,False,True,True,False,同指連打
1778554588_clean,R3,R3,R2,右中指,右中指,右薬指,i,k,o,母音,子音,母音,2,VCV,RRR,82,93,87.5,False,True,True,False,同指連打
1778554588_clean,R3,R2,R4,右中指,右薬指,右人差し指,k,o,m,子音,母音,子音,1,CVC,RRR,93,198,145.5,False,False,True,False,同手3連
1778554588_clean,R2,R4,R4,右薬指,右人差し指,右人差し指,o,m,u,母音,子音,母音,2,VCV,RRR,198,179,188.5,False,True,True,False,同指連打
1778554588_clean,R4,R4,L4,右人差し指,右人差し指,左人差し指,m,u,g,子音,母音,子音,1,CVC,RRL,179,142,160.5,False,True,False,False,同指連打
1778554588_clean,R4,L4,R3,右人差し指,左人差し指,右中指,u,g,i,母音,子音,母音,2,VCV,RLR,142,132,137.0,False,False,False,True,左右交互
1778554588_clean,L4,R3,R4,左人差し指,右中指,右人差し指,g,i,m,子音,母音,子音,1,CVC,LRR,132,119,125.5,False,False,False,False,混合
1778554588_clean,R3,R4,R3,右中指,右人差し指,右中指,i,m,i,母音,子音,母音,2,VCV,RRR,119,148,133.5,False,False,True,False,同手3連
1778554588_clean,R4,R3,R4,右人差し指,右中指,右人差し指,m,i,m,子音,母音,子音,1,CVC,RRR,148,229,188.5,False,False,True,False,同手3連
1778554588_clean,R3,R4,R3,右中指,右人差し指,右中指,i,m,i,母音,子音,母音,2,VCV,RRR,229,78,153.5,False,False,True,False,同手3連
1778554588_clean,R4,R3,L3,右人差し指,右中指,左中指,m,i,d,子音,母音,子音,1,CVC,RRL,78,83,80.5,False,False,False,False,混合
1778554588_clean,R3,L3,R2,右中指,左中指,右薬指,i,d,o,母音,子音,母音,2,VCV,RLR,83,58,70.5,False,False,False,True,左右交互
1778554588_clean,L3,R2,L4,左中指,右薬指,左人差し指,d,o,t,子音,母音,子音,1,CVC,LRL,58,158,108.0,False,False,False,True,左右交互
1778554588_clean,R2,L4,R3,右薬指,左人差し指,右中指,o,t,i,母音,子音,母音,2,VCV,RLR,158,192,175.0,False,False,False,True,左右交互
1778554588_clean,L4,R3,R3,左人差し指,右中指,右中指,t,i,i,子音,母音,母音,2,CVV,LRR,192,100,146.0,False,True,False,False,同指連打
1778554588_clean,R3,R3,R4,右中指,右中指,右人差し指,i,i,h,母音,母音,子音,2,VVC,RRR,100,91,95.5,False,True,True,False,同指連打
1778554588_clean,R3,R4,R2,右中指,右人差し指,右薬指,i,h,o,母音,子音,母音,2,VCV,RRR,91,31,61.0,False,False,True,False,同手3連
1778554588_clean,R4,R2,L4,右人差し指,右薬指,左人差し指,h,o,t,子音,母音,子音,1,CVC,RRL,31,93,62.0,False,False,False,False,混合
1778554588_clean,R2,L4,L3,右薬指,左人差し指,左中指,o,t,e,母音,子音,母音,2,VCV,RLL,93,72,82.5,False,False,False,False,混合
1778554588_clean,L4,L3,L4,左人差し指,左中指,左人差し指,t,e,r,子音,母音,子音,1,CVC,LLL,72,158,115.0,False,False,True,False,同手3連
1778554588_clean,L3,L4,R4,左中指,左人差し指,右人差し指,e,r,u,母音,子音,母音,2,VCV,LLR,158,50,104.0,False,False,False,False,混合
1778554588_clean,L4,R4,R4,左人差し指,右人差し指,右人差し指,r,u,u,子音,母音,母音,2,CVV,LRR,50,93,71.5,False,True,False,False,同指連打
1778554588_clean,R4,R4,R4,右人差し指,右人差し指,右人差し指,u,u,j,母音,母音,子音,2,VVC,RRR,93,167,130.0,False,True,True,False,同指連打
1778554588_clean,R4,R4,R3,右人差し指,右人差し指,右中指,u,j,i,母音,子音,母音,2,VCV,RRR,167,39,103.0,False,True,True,False,同指連打
1778554588_clean,R4,R3,R4,右人差し指,右中指,右人差し指,j,i,u,子音,母音,母音,2,CVV,RRR,39,180,109.5,False,False,True,False,同手3連
1778554588_clean,R3,R4,R4,右中指,右人差し指,右人差し指,i,u,j,母音,母音,子音,2,VVC,RRR,180,170,175.0,False,True,True,False,同指連打
1778554588_clean,R4,R4,R3,右人差し指,右人差し指,右中指,u,j,i,母音,子音,母音,2,VCV,RRR,170,44,107.0,False,True,True,False,同指連打
1778554588_clean,R4,R3,R4,右人差し指,右中指,右人差し指,j,i,m,子音,母音,子音,1,CVC,RRR,44,99,71.5,False,False,True,False,同手3連
1778554588_clean,R3,R4,L1,右中指,右人差し指,左小指,i,m,a,母音,子音,母音,2,VCV,RRL,99,95,97.0,False,False,False,False,混合
1778554588_clean,R4,L1,L4,右人差し指,左小指,左人差し指,m,a,r,子音,母音,子音,1,CVC,RLL,95,78,86.5,False,False,False,False,混合
1778554588_clean,L1,L4,R4,左小指,左人差し指,右人差し指,a,r,u,母音,子音,母音,2,VCV,LLR,78,33,55.5,False,False,False,False,混合
1778554588_clean,L4,R4,R4,左人差し指,右人差し指,右人差し指,r,u,m,子音,母音,子音,1,CVC,LRR,33,174,103.5,False,True,False,False,同指連打
1778554588_clean,R4,R4,L1,右人差し指,右人差し指,左小指,u,m,a,母音,子音,母音,2,VCV,RRL,174,78,126.0,False,True,False,False,同指連打
1778554588_clean,R4,L1,L4,右人差し指,左小指,左人差し指,m,a,r,子音,母音,子音,1,CVC,RLL,78,52,65.0,False,False,False,False,混合
1778554588_clean,L1,L4,R4,左小指,左人差し指,右人差し指,a,r,u,母音,子音,母音,2,VCV,LLR,52,106,79.0,False,False,False,False,混合
1778554588_clean,L4,R4,R4,左人差し指,右人差し指,右人差し指,r,u,h,子音,母音,子音,1,CVC,LRR,106,52,79.0,False,True,False,False,同指連打
1778554588_clean,R4,R4,R4,右人差し指,右人差し指,右人差し指,u,h,u,母音,子音,母音,2,VCV,RRR,52,86,69.0,False,True,True,False,同指連打
1778554588_clean,R4,R4,L4,右人差し指,右人差し指,左人差し指,h,u,r,子音,母音,子音,1,CVC,RRL,86,65,75.5,False,True,False,False,同指連打
1778554588_clean,R4,L4,R4,右人差し指,左人差し指,右人差し指,u,r,u,母音,子音,母音,2,VCV,RLR,65,82,73.5,False,False,False,True,左右交互
1778554588_clean,L4,R4,L4,左人差し指,右人差し指,左人差し指,r,u,t,子音,母音,子音,1,CVC,LRL,82,121,101.5,False,False,False,True,左右交互
1778554588_clean,R4,L4,R4,右人差し指,左人差し指,右人差し指,u,t,u,母音,子音,母音,2,VCV,RLR,121,41,81.0,False,False,False,True,左右交互
1778554588_clean,L4,R4,R4,左人差し指,右人差し指,右人差し指,t,u,h,子音,母音,子音,1,CVC,LRR,41,80,60.5,False,True,False,False,同指連打
1778554588_clean,R4,R4,L3,右人差し指,右人差し指,左中指,u,h,e,母音,子音,母音,2,VCV,RRL,80,85,82.5,False,True,False,False,同指連打
1778554588_clean,R4,L3,L4,右人差し指,左中指,左人差し指,h,e,t,子音,母音,子音,1,CVC,RLL,85,69,77.0,False,False,False,False,混合
1778554588_clean,L3,L4,R2,左中指,左人差し指,右薬指,e,t,o,母音,子音,母音,2,VCV,LLR,69,80,74.5,False,False,False,False,混合
1778554588_clean,L4,R2,R4,左人差し指,右薬指,右人差し指,t,o,h,子音,母音,子音,1,CVC,LRR,80,124,102.0,False,False,False,False,混合
1778554588_clean,R2,R4,L3,右薬指,右人差し指,左中指,o,h,e,母音,子音,母音,2,VCV,RRL,124,89,106.5,False,False,False,False,混合
1778554588_clean,R4,L3,L4,右人差し指,左中指,左人差し指,h,e,t,子音,母音,子音,1,CVC,RLL,89,88,88.5,False,False,False,False,混合
1778554588_clean,L3,L4,R2,左中指,左人差し指,右薬指,e,t,o,母音,子音,母音,2,VCV,LLR,88,89,88.5,False,False,False,False,混合
1778554588_clean,L4,R2,L4,左人差し指,右薬指,左人差し指,t,o,t,子音,母音,子音,1,CVC,LRL,89,100,94.5,False,False,False,True,左右交互
1778554588_clean,R2,L4,R2,右薬指,左人差し指,右薬指,o,t,o,母音,子音,母音,2,VCV,RLR,100,94,97.0,False,False,False,True,左右交互
1778554588_clean,L4,R2,L4,左人差し指,右薬指,左人差し指,t,o,g,子音,母音,子音,1,CVC,LRL,94,129,111.5,False,False,False,True,左右交互
1778554588_clean,R2,L4,L1,右薬指,左人差し指,左小指,o,g,a,母音,子音,母音,2,VCV,RLL,129,83,106.0,False,False,False,False,混合
1778554588_clean,L4,L1,L3,左人差し指,左小指,左中指,g,a,e,子音,母音,母音,2,CVV,LLL,83,46,64.5,False,False,True,False,同手3連
1778554588_clean,L1,L3,R4,左小指,左中指,右人差し指,a,e,n,母音,母音,子音,2,VVC,LLR,46,87,66.5,False,False,False,False,混合
1778554588_clean,L3,R4,L3,左中指,右人差し指,左中指,e,n,e,母音,子音,母音,2,VCV,LRL,87,71,79.0,False,False,False,True,左右交互
1778554588_clean,R4,L3,L4,右人差し指,左中指,左人差し指,n,e,g,子音,母音,子音,1,CVC,RLL,71,164,117.5,False,False,False,False,混合
1778554588_clean,L3,L4,L1,左中指,左人差し指,左小指,e,g,a,母音,子音,母音,2,VCV,LLL,164,62,113.0,False,False,True,False,同手3連
1778554588_clean,L4,L1,R4,左人差し指,左小指,右人差し指,g,a,u,子音,母音,母音,2,CVV,LLR,62,38,50.0,False,False,False,False,混合
1778554588_clean,L1,R4,L3,左小指,右人差し指,左中指,a,u,d,母音,母音,子音,2,VVC,LRL,38,139,88.5,False,False,False,True,左右交互
1778554588_clean,R4,L3,L3,右人差し指,左中指,左中指,u,d,e,母音,子音,母音,2,VCV,RLL,139,166,152.5,False,True,False,False,同指連打
1778554588_clean,L3,L3,L1,左中指,左中指,左小指,d,e,z,子音,母音,子音,1,CVC,LLL,166,193,179.5,False,True,True,False,同指連打
